obs_id;Month;number_of_fixations;value;SiteId
1;01.09.2014;25;0.0019621232371832206;1
1;01.10.2014;31;0.0023160430666649217;1
1;01.11.2014;29;0.0022149886093442315;1
1;01.12.2014;30;0.0012264143246701917;1
1;01.01.2015;31;0.0020274540595833063;1
1;01.02.2015;28;0.00276692807971263;1
1;01.03.2015;28;0.0034737481786447557;1
1;01.04.2015;30;0.0025659343804413145;1
1;01.05.2015;31;0.004429446603733678;1
1;01.06.2015;30;0.004058381178309829;1
1;01.07.2015;31;0.0046431305558812235;1
1;01.08.2015;28;0.0048760280009031475;1
1;01.10.2015;4;0.003317452480573594;1
1;01.11.2015;29;0.0041757758316550075;1
1;01.12.2015;30;0.003640516890679296;1
1;01.01.2016;25;0.00440660748090104;1
1;01.03.2016;6;0.001297312140700326;1
1;01.04.2016;30;0.0031212669443461917;1
1;01.05.2016;31;0.004859254550460623;1
1;01.06.2016;30;0.004420678226738069;1
1;01.07.2016;31;0.001584746339456824;1
1;01.08.2016;31;0.0010538780222416383;1
1;01.09.2016;29;0.003185776673668548;1
1;01.10.2016;31;0.00327902583062564;1
1;01.11.2016;30;0.0007186300333930757;1
1;01.12.2016;29;0.0016072920304419282;1
1;01.01.2017;31;0.0030730307925940763;1
1;01.02.2017;25;0.001449884828306753;1
1;01.03.2017;20;0.0016470078667683318;1
1;01.05.2017;12;0.004239641009462974;1
1;01.06.2017;30;0.003830168753008606;1
1;01.07.2017;31;0.004736252672967249;1
1;01.08.2017;17;0.0022136040463509145;1
2;01.01.2013;741;6.19019394925539e-05;2
2;01.02.2013;476;6.398100623351466e-05;2
2;01.03.2013;705;6.109726428799753e-05;2
2;01.04.2013;567;6.042121127870091e-05;2
2;01.05.2013;552;7.430156741241093e-05;2
2;01.06.2013;718;7.22772546279358e-05;2
2;01.07.2013;552;7.549588836397558e-05;2
2;01.08.2013;552;6.8836816255643e-05;2
2;01.09.2013;718;6.648491365827235e-05;2
2;01.10.2013;552;6.0266024611837384e-05;2
2;01.11.2013;577;5.4334466084525946e-05;2
2;01.12.2013;667;4.8500380527684293e-05;2
2;01.01.2014;552;5.351920722497163e-05;2
2;01.02.2014;650;6.314758302456573e-05;2
2;01.03.2014;550;5.739968908399351e-05;2
2;01.04.2014;526;6.69793538646835e-05;2
2;01.05.2014;742;7.210036634023284e-05;2
2;01.06.2014;528;7.343664942335539e-05;2
2;01.07.2014;573;7.03110204858622e-05;2
2;01.08.2014;719;6.678841624737944e-05;2
2;01.09.2014;526;5.868639246717763e-05;2
2;01.10.2014;678;5.0195627624076445e-05;2
2;01.11.2014;585;5.005977388907808e-05;2
2;01.12.2014;552;3.6492325023894865e-05;2
2;01.01.2015;744;3.4527100390265724e-05;2
2;01.02.2015;480;3.668931647529566e-05;2
2;01.03.2015;552;3.58098667173361e-05;2
2;01.04.2015;720;3.4268806028160975e-05;2
2;01.05.2015;552;3.834398109921225e-05;2
2;01.06.2015;629;4.4383804424235514e-05;2
2;01.07.2015;643;4.859610910038801e-05;2
2;01.08.2015;550;4.6637629439852e-05;2
2;01.09.2015;718;4.2900739459635464e-05;2
2;01.10.2015;551;3.553380046415834e-05;2
2;01.11.2015;528;3.617006384492498e-05;2
2;01.12.2015;744;3.2534501673192046e-05;2
2;01.01.2016;552;3.148216656358341e-05;2
2;01.02.2016;529;2.9947011294192676e-05;2
2;01.03.2016;711;3.0123005012936182e-05;2
2;01.04.2016;493;3.0132984308722903e-05;2
2;01.05.2016;644;3.461041397348106e-05;2
2;01.06.2016;589;4.011967450361011e-05;2
2;01.07.2016;552;4.093295943059312e-05;2
2;01.08.2016;744;4.332043381922133e-05;2
2;01.09.2016;520;3.2873886332992794e-05;2
2;01.10.2016;552;2.8371346974259457e-05;2
2;01.11.2016;715;2.7288426470400224e-05;2
2;01.12.2016;552;2.1593177913213216e-05;2
2;01.01.2017;565;2.4615708913425295e-05;2
2;01.02.2017;635;2.629010990635923e-05;2
2;01.03.2017;552;2.7737515243964097e-05;2
2;01.04.2017;707;2.583793059200638e-05;2
2;01.05.2017;552;3.5206425116894223e-05;2
2;01.06.2017;528;3.666736039276097e-05;2
2;01.07.2017;744;3.902803389718589e-05;2
2;01.08.2017;552;3.737490034369794e-05;2
2;01.09.2017;529;3.451385956050531e-05;2
3;01.01.2013;30;0.004405066321014328;3
3;01.02.2013;28;0.005131803586252474;3
3;01.03.2013;31;0.004573346121910657;3
3;01.04.2013;30;0.004877896791236538;3
3;01.05.2013;31;0.004966748106756071;3
3;01.06.2013;30;0.004514127203335991;3
3;01.07.2013;30;0.003382800490232053;3
3;01.08.2013;31;0.00461480962168428;3
3;01.09.2013;30;0.00491340038218615;3
3;01.10.2013;31;0.004781467789511111;3
3;01.11.2013;30;0.004363005941528796;3
3;01.12.2013;27;0.0037696901987538172;3
6;01.01.2013;2583;2.1135027321751703e-05;6
6;01.02.2013;2232;2.4295295588829238e-05;6
6;01.03.2013;2467;2.4288590884865392e-05;6
6;01.04.2013;2343;2.269022011799765e-05;6
