obs_id,Month,number_of_fixations,value,SiteId
1,2014-09,25,2865027.007630894,1
1,2014-10,31,3381805.8598481677,1
1,2014-11,29,3234250.390740649,1
1,2014-12,30,1790775.791101756,1
1,2015-01,31,2960420.3272529375,1
1,2015-02,28,4040169.195595687,1
1,2015-03,28,5072238.1813464,1
1,2015-04,30,3746686.64796775,1
1,2015-05,31,6467708.833292013,1
1,2015-06,30,5925894.702874758,1
1,2015-07,31,6779721.154528084,1
1,2015-08,28,7119788.210106807,1
1,2015-10,4,4844021.775461494,1
1,2015-11,29,6097309.439090613,1
1,2015-12,30,5315746.841816691,1
1,2016-01,25,6434360.106546794,1
1,2016-03,6,1894297.80072303,1
1,2016-04,30,4557559.905320732,1
1,2016-05,31,7095296.32311617,1
1,2016-06,30,6454905.617924751,1
1,2016-07,31,2313997.130763126,1
1,2016-08,31,1538845.5376728491,1
1,2016-09,29,4651754.2993587125,1
1,2016-10,31,4787912.797098399,1
1,2016-11,30,1049330.521972754,1
1,2016-12,29,2346917.4006637703,1
1,2017-01,31,4487127.504925587,1
1,2017-02,25,2117078.023284792,1
1,2017-03,20,2404908.794764702,1
1,2017-05,12,6190562.686111517,1
1,2017-06,30,5592668.516080994,1
1,2017-07,31,6915694.153990231,1
1,2017-08,17,3232228.7100804923,1
2,2013-01,741,90403.77553483644,2
2,2013-02,476,93439.54136251059,2
2,2013-03,705,89228.82263878844,2
2,2013-04,567,88241.67846352712,2
2,2013-05,552,108509.19080283372,2
2,2013-06,718,105553.3743999444,2
2,2013-07,552,110253.08803354975,2
2,2013-08,552,100529.79096365752,2
2,2013-09,718,97095.6416915584,2
2,2013-10,552,88015.08141837538,2
2,2013-11,577,79354.06908659227,2
2,2013-12,667,70835.38268742317,2
2,2014-01,552,78163.6623825728,2
2,2014-02,650,92222.61183933978,2
2,2014-03,550,83829.77881377707,2
2,2014-04,526,97817.60248910234,2
2,2014-05,742,105295.08956062449,2
2,2014-06,528,107246.27392614794,2
2,2014-07,573,102682.36198840685,2
2,2014-08,719,97538.8034094916,2
2,2014-09,526,85708.56898634172,2
2,2014-10,678,73310.7112102165,2
2,2014-11,585,73112.3432991992,2
2,2014-12,552,53301.72499523536,2
2,2015-01,744,50432.18662547727,2
2,2015-02,480,53589.36362882252,2
2,2015-03,552,52305.22807426299,2
2,2015-04,720,50055.0360595478,2
2,2015-05,552,56005.4353318531,2
2,2015-06,629,64824.53136857863,2
2,2015-07,643,70975.16152377341,2
2,2015-08,550,68115.47188009096,2
2,2015-09,718,62659.02227209187,2
2,2015-10,551,51902.12774031998,2
2,2015-11,528,52831.172773207756,2
2,2015-12,744,47522.67777018949,2
2,2016-01,552,45986.102295207216,2
2,2016-02,529,43744.533126130584,2
2,2016-03,711,44001.5117534737,2
2,2016-04,493,44016.08310153902,2
2,2016-05,644,50553.83761624312,2
2,2016-06,589,58598.228170723836,2
2,2016-07,552,59785.752621409134,2
2,2016-08,744,63271.84232726219,2
2,2016-09,520,48018.232978861546,2
2,2016-10,552,41443.81434491037,2
2,2016-11,715,39862.57936339922,2
2,2016-12,552,31546.616912848356,2
2,2017-01,565,35959.98957797474,2
2,2017-02,635,38404.879497104295,2
2,2017-03,552,40518.319905786666,2
2,2017-04,707,37744.626277018084,2
2,2017-05,552,51424.108024806614,2
2,2017-06,528,53557.30428038737,2
2,2017-07,744,57004.26046213902,2
2,2017-08,552,54590.42436376483,2
2,2017-09,529,50412.85292265534,2
3,2013-01,30,6432109.7696880065,3
3,2013-02,28,7493260.9641358685,3
3,2013-03,31,6677824.858571018,3
3,2013-04,30,7122516.939166544,3
3,2013-05,31,7252253.893774094,3
3,2013-06,30,6591355.883901301,3
3,2013-07,30,4939440.191195467,3
3,2013-08,31,6738368.117346045,3
3,2013-09,30,7174357.789698715,3
3,2013-10,31,6981715.365812768,3
3,2013-11,30,6370694.972257224,3
3,2013-12,27,5504360.274360489,3
5,2013-01,964,25767.67704378139,5
6,2013-01,2583,30877.644685028074,6
6,2013-02,2232,35492.13551519911,6
6,2013-03,2467,35482.345588412674,6
6,2013-04,2343,33148.47180821448,6
6,2013-05,2543,36889.583183425224,6
6,2013-06,2299,35395.46600847062,6
6,2013-07,2592,36223.630443558,6
6,2013-08,2400,33314.302349644546,6
6,2013-09,2491,32472.2168887894,6
6,2013-10,2395,30497.324325385067,6
6,2013-11,2496,31777.172470310823,6
6,2013-12,2282,26425.155870523417,6
6,2014-01,2531,26431.200828828096,6
6,2014-02,2163,28340.422109545667,6
6,2014-03,2577,29554.210673898273,6
6,2014-04,2304,27914.519035608857,6
6,2014-05,2576,29561.043847184126,6
6,2014-06,2320,30860.831322429844,6
6,2014-07,2475,31588.896002965655,6
6,2014-08,2492,30562.78157815376,6
6,2014-09,2318,30201.370696693826,6
6,2014-10,2557,27887.517549940243,6
6,2014-11,2304,26476.983595260375,6
6,2014-12,2574,22573.721748058055,6
6,2015-01,2400,23831.23958905203,6
6,2015-02,2299,27042.9176584535,6
6,2015-03,2400,26961.81441904598,6
6,2015-04,2496,24679.380673293887,6
6,2015-05,2400,27609.250655906253,6
6,2015-06,2496,28938.200518416466,6
6,2015-07,2395,28672.74139778611,6
6,2015-08,2587,28747.971274168867,6
6,2015-09,2304,28563.87906388309,6
6,2015-10,2481,25911.011000697672,6
6,2015-11,2305,27035.229059499576,6
6,2015-12,2475,22027.12508061065,6
6,2016-01,2512,22419.433931660347,6
6,2016-02,2303,25623.444284371697,6
6,2016-03,2105,24649.08048857599,6
6,2016-04,2328,22192.45923616689,6
6,2016-05,2568,24426.083675282345,6
6,2016-06,2304,27269.984571082015,6
6,2016-07,2587,26611.558594970367,6
6,2016-08,2400,27358.437154571737,6
6,2016-09,2328,26344.83196675895,6
6,2016-10,2321,25394.349379526975,6
6,2016-11,2489,25191.27139607659,6
6,2016-12,2400,22967.222079663818,6
6,2017-01,2516,22199.08182791428,6
6,2017-02,2188,22534.396249940342,6
6,2017-03,2592,25681.757498377432,6
6,2017-04,2304,23058.35317145077,6
6,2017-05,2556,26534.275270765516,6
6,2017-06,2340,25220.86089336101,6
6,2017-07,2480,24160.196713078367,6
6,2017-08,2512,25933.74754933526,6
6,2017-09,2303,24710.010954895504,6
6,2017-10,1928,23311.773858801822,6
7,2015-11,1,9069615.051710296,7
7,2015-12,31,8093548.583037887,7
7,2016-01,31,9304295.968157472,7
7,2016-02,29,8267939.7360059535,7
7,2016-03,25,8006376.786988119,7
7,2016-04,30,8299077.754143807,7
7,2016-05,31,8414480.75423868,7
7,2016-06,30,9875472.88795922,7
7,2016-07,31,10643700.101680154,7
7,2016-08,31,11972157.497043964,7
7,2016-09,27,10100693.551444493,7
7,2016-10,27,8985439.27917969,7
7,2016-11,23,9822268.362965344,7
7,2017-01,9,8986083.770378895,7
7,2017-02,28,8876372.37646526,7
7,2017-03,31,8795866.992772104,7
7,2017-04,22,8790717.956022967,7
8,2013-03,959,44114.970080047824,8
8,2013-04,2328,47922.346707428536,8
8,2013-05,2492,53605.22730022924,8
8,2013-06,2404,50424.927339300484,8
8,2013-07,2416,42532.62981364668,8
8,2013-08,2576,50771.921044384806,8
8,2013-09,2304,42026.181528266374,8
8,2013-10,2592,48249.3742314439,8
8,2013-11,2304,41443.46094822329,8
8,2013-12,2587,24090.616235491663,8
8,2014-01,2400,20738.821871476222,8
8,2014-02,2304,26532.190320107435,8
8,2014-03,2400,35741.51891837058,8
8,2014-04,2496,36188.890320190636,8
8,2014-05,2395,43094.22803782099,8
8,2014-06,2496,47740.576048089715,8
8,2014-07,2400,38198.794239908544,8
8,2014-08,2548,42178.1398832616,8
8,2014-09,2343,41922.1765598035,8
8,2014-10,2472,43162.16397224224,8
8,2014-11,2424,39303.97981186237,8
8,2014-12,2400,25055.02920281894,8
8,2015-01,2585,22056.537617758033,8
8,2015-02,2224,28006.436316093594,8
8,2015-03,2465,39957.05762612997,8
8,2015-04,2340,39012.685117269364,8
8,2015-05,2556,46313.69509516731,8
8,2015-06,2304,49679.29638510876,8
8,2015-07,2592,40162.86059934991,8
8,2015-08,2400,50030.07065190862,8
8,2015-09,2491,43067.00300654237,8
8,2015-10,2400,44103.329020272824,8
8,2015-11,2496,42589.2309215471,8
8,2015-12,2377,22649.738926386213,8
8,2016-01,2528,19562.04055061133,8
8,2016-02,2272,28610.74200304564,8
8,2016-03,2241,34522.78041518572,8
8,2016-04,2348,32645.0613304288,8
8,2016-05,2472,39076.588242792284,8
8,2016-06,2419,47778.46881523886,8
8,2016-07,2400,37687.331446129974,8
8,2016-08,2592,45292.09229139645,8
8,2016-09,2219,42994.29973185908,8
8,2016-10,2365,39595.69011279948,8
8,2016-11,2304,38471.67632549776,8
8,2016-12,2568,21332.12445726931,8
8,2017-01,2400,19314.656777910688,8
8,2017-02,2304,21804.09071502096,8
8,2017-03,260,32219.900686017914,8
9,2013-01,1150,2347.1196533195425,9
9,2013-02,2304,3387.9637790672514,9
9,2013-03,2400,4333.50919796047,9
9,2013-04,2491,2772.8581047058137,9
9,2013-05,2400,3115.719453753332,9
9,2013-06,2496,3478.106571809903,9
9,2013-07,2400,3364.9749222744763,9
9,2013-08,2592,3507.30194173109,9
9,2013-09,1784,3117.9285494867213,9
9,2013-10,2592,2747.2790116288998,9
9,2013-11,2295,2599.1019495944306,9
9,2013-12,2518,2262.730941736335,9
9,2014-01,2469,2201.9464506612344,9
9,2014-02,2304,2909.0194316336256,9
9,2014-03,2400,3816.0867489390803,9
9,2014-04,2462,2911.0970730737345,9
9,2014-05,2434,2756.7609526917163,9
9,2014-06,2386,3079.478497367144,9
9,2014-07,2510,4547.695416691835,9
9,2014-08,2400,3785.5726753102304,9
9,2014-09,2491,3535.2724678319064,9
9,2014-10,2400,3324.398270298672,9
9,2014-11,2496,2803.8064934072972,9
9,2014-12,2400,2150.9652154197715,9
9,2015-01,2592,2830.836681020293,9
9,2015-02,2112,3719.765543897243,9
9,2015-03,2592,4511.533410618671,9
9,2015-04,2304,2840.566625002717,9
9,2015-05,2592,3398.8874956333807,9
9,2015-06,2304,3411.100202205688,9
9,2015-07,2592,3675.953981145096,9
9,2015-08,2400,3758.5411058889003,9
9,2015-09,2437,3411.964922803638,9
9,2015-10,2454,2881.1197781742003,9
9,2015-11,2366,2526.881869767883,9
9,2015-12,2530,1196.594045059442,9
9,2016-01,2400,1582.1939866146065,9
9,2016-02,2400,2052.6453445983443,9
9,2016-03,1277,2719.8663509719713,9
10,2013-01,20,450541.2575557648,10
10,2013-02,28,544856.4985073622,10
10,2013-03,31,708993.1140205408,10
10,2013-04,30,1690489.8379601452,10
10,2013-05,31,1882674.0134761648,10
10,2013-06,30,1950337.9902839793,10
10,2013-07,31,1789817.3222673829,10
10,2013-08,31,1886481.4008919199,10
10,2013-09,27,1775102.8218246172,10
10,2013-10,31,1677718.2401008762,10
10,2013-11,30,1632438.760092533,10
10,2013-12,31,1255764.9157851161,10
10,2014-01,6,1011716.4936521497,10
10,2014-03,24,1781906.1213582484,10
10,2014-04,30,1667655.3464879845,10
10,2014-05,31,1799348.4651266655,10
10,2014-06,5,1846854.487539582,10
10,2014-08,27,1893228.5333171813,10
10,2014-09,30,1835852.3233088513,10
10,2014-10,31,1801679.0363608147,10
10,2014-11,30,1693792.6003260596,10
10,2014-12,31,1297616.2593642145,10
10,2015-01,31,1376415.2356565944,10
10,2015-02,28,1572101.8235974945,10
10,2015-03,31,1869529.2630895984,10
10,2015-04,30,1715895.7126052508,10
10,2015-05,31,1781209.6275572926,10
10,2015-06,30,1898149.0768350756,10
10,2015-07,30,1804391.30879684,10
10,2015-09,2,1841654.534651184,10
10,2015-10,31,1666274.1792017042,10
10,2015-11,30,1627675.9022913761,10
10,2015-12,27,1342163.5585547471,10
11,2013-03,957,2357.1505014526733,11
12,2016-06,18,10053298.19972579,12
12,2016-07,14,9911894.70142384,12
12,2016-08,27,10787167.537217133,12
12,2016-09,30,12291412.06664495,12
12,2016-10,31,10771796.328900537,12
12,2016-11,30,9368882.019683685,12
12,2016-12,30,6911395.630224602,12
12,2017-01,31,9253938.210208243,12
12,2017-02,28,9082271.550511053,12
12,2017-03,31,9040191.313307507,12
12,2017-04,30,9455301.116243938,12
12,2017-05,31,9485096.404521411,12
12,2017-06,3,8702451.81451595,12
12,2017-08,29,10064938.673173882,12
12,2017-09,30,10551977.087847969,12
12,2017-10,31,10451976.936088197,12
13,2014-07,2,1740802.8415152873,13
13,2014-08,31,2533064.372280669,13
13,2014-09,30,2632634.647626514,13
13,2014-10,31,2028957.3929746782,13
13,2014-11,28,3368375.7594797136,13
13,2014-12,29,3706605.547069402,13
13,2015-01,31,4667858.669955398,13
