Datetime,COMED_MW,Chicago_temp,Chicago_humidity,Chicago_pressure,Chicago_wind_dir,Chicago_wind_speed,hour,weekday,is_holiday,COMED_MW_lag_1,COMED_MW_lag_2,COMED_MW_lag_3,COMED_MW_lag_6,COMED_MW_lag_12,COMED_MW_lag_24,COMED_MW_rolling_mean_3h,COMED_MW_rolling_mean_6h,COMED_MW_rolling_max_12h,COMED_MW_rolling_min_12h,month,day_of_week,is_weekend,season,temp_diff,humidity_rolling_mean_6h
2012-10-02 13:00:00,11769.0,286.877278791,62.0,1014.0,0.0,0.0,13,1,0,11623.0,11362.0,11047.0,8940.0,9190.0,11426.0,11584.666666666666,11089.666666666666,11769.0,8086.0,10,1,0,4,0.1227212100000088,62.833333333333336
2012-10-02 14:00:00,11806.0,287.0,62.0,1014.0,0.0,0.0,14,1,0,11769.0,11623.0,11362.0,10091.0,8670.0,11522.0,11732.666666666666,11375.5,11806.0,8086.0,10,1,0,4,0.12272120900001937,62.5
2012-10-02 15:00:00,11909.0,289.3,51.0,1014.0,0.0,0.0,15,1,0,11806.0,11769.0,11623.0,10646.0,8332.0,11574.0,11828.0,11586.0,11909.0,8086.0,10,1,0,4,2.3000000000000114,60.5
2012-10-02 16:00:00,11833.0,289.85,48.0,1013.3333333333334,297.0,0.0,16,1,0,11909.0,11806.0,11769.0,11047.0,8165.0,11489.0,11849.333333333334,11717.0,11909.0,8086.0,10,1,0,4,0.5500000000000114,58.0
2012-10-02 17:00:00,11734.0,290.92,45.0,1012.6666666666666,321.0,2.0,17,1,0,11833.0,11909.0,11806.0,11362.0,8086.0,11309.0,11825.333333333334,11779.0,11909.0,8279.0,10,1,0,4,1.0699999999999932,55.0
2012-10-02 18:00:00,11568.0,291.25,42.0,1012.0,90.0,2.0,18,1,0,11734.0,11833.0,11909.0,11623.0,8279.0,11174.0,11711.666666666666,11769.833333333334,11909.0,8940.0,10,1,0,4,0.3299999999999841,51.666666666666664
2012-10-02 19:00:00,11345.0,291.18,43.5,1011.5,233.0,0.0,19,1,0,11568.0,11734.0,11833.0,11769.0,8940.0,11082.0,11549.0,11699.166666666666,11909.0,10091.0,10,1,0,4,-0.06999999999999318,48.583333333333336
2012-10-02 20:00:00,11464.0,290.85,45.0,1011.0,292.0,0.0,20,1,0,11345.0,11568.0,11734.0,11806.0,10091.0,11396.0,11459.0,11642.166666666666,11909.0,10646.0,10,1,0,4,-0.3299999999999841,45.75
2012-10-02 21:00:00,11838.0,290.55,46.5,1010.5,298.0,0.0,21,1,0,11464.0,11345.0,11568.0,11909.0,10646.0,11710.0,11549.0,11630.333333333334,11909.0,11047.0,10,1,0,4,-0.30000000000001137,45.0
2012-10-02 22:00:00,11617.0,289.99,48.0,1010.0,30.0,4.0,22,1,0,11838.0,11464.0,11345.0,11833.0,11047.0,11407.0,11639.666666666666,11594.333333333334,11909.0,11345.0,10,1,0,4,-0.5600000000000023,45.0
2012-10-02 23:00:00,11054.0,289.12,48.0,1011.0,70.0,3.0,23,1,0,11617.0,11838.0,11464.0,11734.0,11362.0,10843.0,11503.0,11481.0,11909.0,11054.0,10,1,0,4,-0.8700000000000045,45.5
2012-10-03 00:00:00,10195.0,288.08,55.0,1011.0,20.0,4.0,0,2,0,11054.0,11617.0,11838.0,11568.0,11623.0,9995.0,10955.333333333334,11252.166666666666,11909.0,10195.0,10,2,0,4,-1.0400000000000205,47.666666666666664
2012-10-03 01:00:00,9366.0,287.94,55.0,1011.0,30.0,3.0,1,2,0,10195.0,11054.0,11617.0,11345.0,11769.0,9190.0,10205.0,10922.333333333334,11909.0,9366.0,10,2,0,4,-0.13999999999998636,49.583333333333336
2012-10-03 02:00:00,8860.0,287.31,59.0,1011.0,10.0,2.0,2,2,0,9366.0,10195.0,11054.0,11464.0,11806.0,8670.0,9473.666666666666,10488.333333333334,11909.0,8860.0,10,2,0,4,-0.6299999999999955,51.916666666666664
2012-10-03 03:00:00,8536.0,287.09,63.0,1011.0,10.0,3.0,3,2,0,8860.0,9366.0,10195.0,11838.0,11909.0,8332.0,8920.666666666666,9938.0,11838.0,8536.0,10,2,0,4,-0.22000000000002728,54.666666666666664
